aviris_wl,ch4_Kcoef_interp1d
2325.23,1.2940438668705068e-21
2330.24,2.79848367000244e-22
2335.25,1.3201611413611427e-21
2340.26,2.8473141944505283e-21
2345.27,2.4324036141543715e-21
2350.28,3.787362851565131e-21
2355.28,2.342876479017531e-21
2360.29,3.62991714753852e-22
2365.3,3.9551332488060264e-22
2370.31,1.467899907835946e-20
2375.32,5.8211069652226515e-21
2380.33,1.5194028443603767e-21
2385.34,2.2694173580672744e-22
2390.35,1.0658227862108656e-21
2395.35,6.815589369674926e-22
2400.36,4.454394851330458e-22
2405.37,7.36011616858068e-22
2410.38,3.0685490313512946e-22
2415.39,7.925031314502682e-23
2420.4,9.447305782254243e-23
2425.41,9.047636313200608e-22
2430.41,8.547651341557853e-23
2435.42,2.7047971407741604e-22
2440.43,2.3972981391294116e-22
2445.44,6.794671075762238e-23
2450.45,2.2406261917784395e-22
2455.46,5.921214122558743e-23
2460.47,2.023695290311272e-23
2465.48,5.0034608097058185e-23
2470.48,2.9248464572894e-23
2475.49,8.366553524237521e-23
2480.5,8.735308081841003e-23
2485.51,1.7154292247087633e-23
2490.52,2.4399050817113096e-23
2495.53,2.8033757508936124e-23
2500.54,2.5272807303882293e-23
